Feature,Importance
log_discounted_price,0.40388784
price_relative_to_median,0.2959273
price_percentile,0.21652326
price_to_cost_ratio,0.05198029
margin_percentage,0.018126382
price_segment_numeric,0.01355493
brand_strength,0.0
discount_amount,0.0
rating_x_count,0.0
is_new_release,0.0
seasonal_relevance,0.0
estimated_units_sold,0.0
price_elasticity,0.0
premium_index,0.0
discount_percentage,0.0
rating,0.0
feature_count,0.0
technology_level,0.0
complexity_score,0.0
price_to_brand_avg_ratio,0.0
price_to_category_median_ratio,0.0
quality_tier,0.0
brand_product_count,0.0
brand_avg_price,0.0
category_median_price,0.0
rating_count,0.0
value_score,0.0
