Feature,Importance
log_discounted_price,0.46285424
price_relative_to_median,0.3199186
price_percentile,0.19003572
price_segment_numeric,0.015993595
price_to_cost_ratio,0.003349704
margin_percentage,0.00284754
value_score,0.0027910175
brand_avg_price,0.0022096725
quality_tier,0.0
price_to_category_median_ratio,0.0
rating_count,0.0
category_median_price,0.0
discount_amount,0.0
brand_product_count,0.0
rating_x_count,0.0
is_new_release,0.0
seasonal_relevance,0.0
estimated_units_sold,0.0
price_elasticity,0.0
premium_index,0.0
brand_strength,0.0
rating,0.0
feature_count,0.0
technology_level,0.0
complexity_score,0.0
price_to_brand_avg_ratio,0.0
discount_percentage,0.0
